RowTotal,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHType,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRace,HoHEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID
1,0,1,5,3,-1,1,1,2,0,0,5,0,25,1,0,4,12345
4,0,1,5,3,-1,1,1,2,0,0,5,0,55,0,0,4,12345
1,0,1,5,3,-1,2,1,1,1,1,5,0,25,1,0,4,12345
1,0,1,5,3,-1,2,1,2,0,0,3,0,25,1,0,4,12345
1,0,1,5,3,-1,2,1,2,0,0,3,1,25,1,1,4,12345
1,0,1,5,3,-1,2,1,2,0,0,5,0,25,1,0,4,12345
1,0,1,5,4,-1,1,1,0,0,0,5,0,55,0,0,4,12345
1,0,1,5,4,-1,1,1,0,1,0,5,0,25,0,0,4,12345
1,0,1,5,4,-1,1,1,1,1,0,5,0,25,0,0,4,12345
1,0,1,5,4,-1,1,1,2,0,0,5,0,24,0,0,4,12345
2,0,1,5,4,-1,1,1,2,0,0,5,0,25,0,0,4,12345
1,0,1,5,4,-1,2,1,2,0,0,5,0,25,1,0,4,12345
1,0,1,5,4,-1,2,1,2,0,0,5,0,25,1,1,4,12345
1,0,1,5,5,-1,1,1,1,1,0,5,0,55,0,0,4,12345
1,0,1,5,5,-1,1,1,2,0,0,3,0,55,0,0,4,12345
1,0,1,5,5,-1,1,1,2,0,0,5,0,55,0,0,4,12345
1,0,1,5,6,-1,1,1,0,1,0,5,0,25,0,0,4,12345
1,0,1,5,8,-1,1,1,1,1,0,3,0,55,0,0,4,12345
1,0,1,5,11,-1,1,0,1,1,0,3,1,24,0,0,4,12345
1,0,1,5,15,-1,1,0,0,1,0,5,0,24,0,0,-1,12345
1,0,1,6,3,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
1,0,1,6,4,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
1,0,1,6,10,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
1,0,1,6,11,-1,1,1,0,0,0,1,0,55,0,0,8,12345
1,0,1,6,11,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
1,0,1,6,15,-1,1,0,0,1,0,5,0,25,0,0,-1,12345
1,0,1,6,99,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
1,0,1,7,3,-1,1,1,2,0,0,5,0,25,0,0,4,12345
1,0,1,7,8,-1,1,1,2,0,0,5,0,55,0,0,4,12345
1,0,1,7,11,-1,1,1,2,0,0,4,1,25,1,0,4,12345
1,0,1,7,12,-1,1,1,2,0,0,3,0,55,0,0,4,12345
1,0,1,7,15,-1,1,1,2,0,0,5,0,25,0,0,4,12345
2,0,1,7,99,-1,1,1,0,1,0,5,0,55,0,0,4,12345
1,0,1,7,99,-1,1,1,1,1,0,5,0,55,0,0,4,12345
1,0,1,7,99,-1,1,1,2,0,0,3,0,55,0,0,4,12345
1,0,1,7,99,-1,1,1,2,0,0,5,0,25,0,0,4,12345
1,0,1,7,99,-1,1,1,2,0,0,5,1,25,0,0,4,12345
1,0,5,2,5,-1,1,0,0,0,1,99,1,18,0,0,1,12345
1,0,5,5,3,-1,1,1,2,1,0,5,0,55,0,0,6,12345
