Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID
3210,1,-1,1,15,8,,7,12345
1824,1,-1,1,1520,-1,,6,12345
250,1,-1,2,0,2,,9,12345
2732,1,-1,1,14,-1,,6,12345
3629,1,-1,1,1431,-1,,6,12345
82,1,-1,1,20,-1,,8,12345
182,1,-1,1,11,-1,,1,12345
2359,1,-1,0,22,-1,,7,12345
1946,1,-1,1,1533,-1,,6,12345
977,1,-1,1,1125,-1,,7,12345
199,1,-1,1,1132,-1,,8,12345
175,1,-1,0,15,-1,,2,12345
499,1,-1,1,1423,-1,,2,12345
1409,1,-1,1,32,-1,,7,12345
36,1,-1,2,15,4,,8,12345
278,1,-1,2,23,-1,,2,12345
226,1,-1,2,17,-1,,7,12345
462,1,-1,1,11,-1,,3,12345
258,1,-1,1,25,-1,,5,12345
1018,1,-1,1,13,6,,7,12345
128,1,-1,99,32,-1,,5,12345
254,1,-1,1,1523,-1,,3,12345
1406,1,-1,1,0,-1,,7,12345
228,1,-1,0,31,-1,,9,12345
202,1,-1,1,1319,-1,,9,12345
319,1,-1,0,24,-1,,3,12345
63,1,-1,1,1524,-1,,1,12345
158,1,-1,0,1315,-1,,3,12345
729,1,-1,1,10,4,,7,12345
2699,1,-1,1,1423,-1,,7,12345
542,1,-1,1,1125,-1,,2,12345
230,1,-1,1,23,-1,,9,12345
982,1,-1,1,1019,-1,,6,12345
820,1,-1,0,1325,-1,,7,12345
3888,1,-1,1,1431,-1,,7,12345
275,1,-1,2,24,-1,,9,12345
59,1,-1,2,15,-1,,13,12345
72,1,-1,2,15,-1,,12,12345
178,1,-1,0,13,-1,,9,12345
87,1,-1,2,1326,-1,,5,12345
189,1,-1,1,1523,-1,,5,12345
311,1,-1,1,1033,-1,,1,12345
363,1,-1,1,1434,-1,,5,12345
25,1,-1,0,1328,-1,,5,12345
736,1,-1,1,28,-1,,6,12345
1080,1,-1,1,10,1,,6,12345
69,1,-1,2,15,4,,9,12345
88,1,-1,0,15,-1,,12,12345
105,1,-1,0,1523,-1,,8,12345
271,1,-1,1,31,-1,,5,12345
231,1,-1,2,1333,-1,,9,12345
546,1,-1,1,13,2,,2,12345
19,1,-1,1,13,6,,4,12345
61,1,-1,0,16,6,,8,12345
101,1,-1,0,30,-1,,8,12345
203,1,-1,1,1428,-1,,2,12345
62,1,-1,2,1336,-1,,5,12345
64,1,-1,1,1519,-1,,5,12345
1496,1,-1,0,13,-1,,11,12345
55,1,-1,0,13,11,,9,12345
2382,1,-1,0,18,-1,,6,12345
2004,1,-1,1,18,-1,,7,12345
2805,1,-1,1,14,1,,7,12345
1018,1,-1,0,13,6,,7,12345
98,1,-1,0,1318,-1,,5,12345
82,1,-1,0,1323,-1,,8,12345
155,1,-1,1,1520,-1,,2,12345
411,1,-1,1,1125,-1,,5,12345
205,1,-1,0,1325,-1,,3,12345
90,1,-1,2,20,-1,,8,12345
1656,1,-1,2,16,2,,7,12345
207,1,-1,1,18,-1,,9,12345
342,1,-1,0,32,-1,,3,12345
62,1,-1,2,1520,-1,,4,12345
87,1,-1,1,1334,-1,,8,12345
948,1,-1,0,0,8,,9,12345
679,1,-1,1,11,1,,7,12345
250,1,-1,0,25,-1,,5,12345
384,1,-1,1,1118,-1,,3,12345
120,1,-1,1,16,4,,8,12345
419,1,-1,1,16,-1,,11,12345
402,1,-1,1,1132,-1,,5,12345
161,1,-1,1,1120,-1,,9,12345
1921,1,-1,1,1520,-1,,7,12345
90,1,-1,2,20,-1,,5,12345
193,1,-1,2,31,-1,,5,12345
3083,1,-1,1,31,-1,,6,12345
549,1,-1,0,25,-1,,2,12345
19,1,-1,0,13,6,,4,12345
222,1,-1,1,1534,-1,,3,12345
252,1,-1,0,1525,-1,,1,12345
151,1,-1,1,1433,-1,,8,12345
282,1,-1,1,1023,-1,,5,12345
69,1,-1,2,1315,-1,,9,12345
948,1,-1,0,0,8,,4,12345
799,1,-1,2,28,-1,,7,12345
47,1,-1,0,22,-1,,4,12345
351,1,-1,0,16,6,,2,12345
101,1,-1,1,30,-1,,8,12345
81,1,-1,1,1323,-1,,8,12345
56,1,-1,2,1523,-1,,5,12345
1671,1,-1,1,1523,-1,,6,12345
948,1,-1,1,14,8,,9,12345
62,1,-1,0,1519,-1,,5,12345
55,1,-1,1,13,11,,9,12345
104,1,-1,1,15,-1,,12,12345
993,1,-1,2,0,-1,,6,12345
1097,1,-1,1,1033,-1,,7,12345
949,1,-1,1,17,2,,7,12345
183,1,-1,1,13,-1,,9,12345
246,1,-1,1,32,-1,,9,12345
962,1,-1,2,1520,-1,,7,12345
72,1,-1,2,0,-1,,12,12345
171,1,-1,0,28,-1,,9,12345
97,1,-1,0,13,-1,,4,12345
172,1,-1,0,1324,-1,,9,12345
109,1,-1,1,1520,-1,,1,12345
238,1,-1,1,1523,-1,,9,12345
170,1,-1,0,1325,-1,,1,12345
576,1,-1,1,14,-1,,10,12345
1358,1,-1,1,13,11,,7,12345
601,1,-1,1,1426,-1,,3,12345
946,1,-1,1,1333,-1,,6,12345
96,1,-1,1,16,-1,,14,12345
1060,1,-1,1,10,-1,,7,12345
1911,1,-1,0,18,-1,,7,12345
601,1,-1,1,1426,-1,,2,12345
83,1,-1,0,20,-1,,8,12345
1566,1,-1,99,25,-1,,7,12345
151,1,-1,1,1026,-1,,5,12345
1334,1,-1,0,32,-1,,7,12345
939,1,-1,1,1033,-1,,6,12345
1707,1,-1,1,17,2,,6,12345
154,1,-1,0,13,4,,9,12345
129,1,-1,0,16,-1,,13,12345
230,1,-1,1,1418,-1,,3,12345
254,1,-1,0,1315,-1,,2,12345
2472,1,-1,1,18,-1,,6,12345
88,1,-1,1,1419,-1,,5,12345
167,1,-1,1,1132,-1,,1,12345
69,1,-1,2,15,-1,,9,12345
242,1,-1,1,15,-1,,3,12345
2497,1,-1,1,0,8,,6,12345
93,1,-1,1,1420,-1,,8,12345
159,1,-1,0,17,4,,9,12345
47,1,-1,1,22,-1,,4,12345
215,1,-1,1,33,-1,,1,12345
74,1,-1,0,1533,-1,,3,12345
192,1,-1,1,16,-1,,5,12345
359,1,-1,1,1032,-1,,8,12345
16,1,-1,0,16,11,,8,12345
254,1,-1,1,15,6,,2,12345
756,1,-1,2,1326,-1,,6,12345
2347,1,-1,1,0,1,,7,12345
203,1,-1,1,19,-1,,1,12345
1086,1,-1,2,25,-1,,6,12345
230,1,-1,1,1015,-1,,2,12345
128,1,-1,99,16,-1,,9,12345
230,1,-1,2,24,-1,,5,12345
1927,1,-1,0,1524,-1,,6,12345
62,1,-1,2,1532,-1,,4,12345
225,1,-1,1,0,-1,,1,12345
66,1,-1,0,17,-1,,14,12345
826,1,-1,1,13,2,,6,12345
1358,1,-1,0,13,11,,7,12345
962,1,-1,2,1315,-1,,7,12345
74,1,-1,2,26,-1,,8,12345
409,1,-1,0,0,6,,9,12345
1247,1,-1,0,0,-1,,11,12345
219,1,-1,1,1534,-1,,1,12345
479,1,-1,1,1319,-1,,3,12345
64,1,-1,0,1519,-1,,3,12345
164,1,-1,1,1324,-1,,9,12345
96,1,-1,0,18,-1,,4,12345
170,1,-1,1,1325,-1,,1,12345
762,1,-1,0,17,2,,7,12345
252,1,-1,0,1333,-1,,1,12345
100,1,-1,1,18,-1,,4,12345
246,1,-1,0,1323,-1,,1,12345
159,1,-1,1,17,4,,9,12345
2485,1,-1,1,1534,-1,,7,12345
2359,1,-1,1,22,-1,,7,12345
47,1,-1,0,13,11,,4,12345
868,1,-1,0,13,2,,6,12345
151,1,-1,0,1533,-1,,9,12345
259,1,-1,0,15,1,,1,12345
109,1,-1,0,1520,-1,,1,12345
50,1,-1,1,1328,-1,,5,12345
87,1,-1,1,34,-1,,8,12345
859,1,-1,1,1330,-1,,6,12345
62,1,-1,2,16,4,,4,12345
47,1,-1,1,16,11,,4,12345
244,1,-1,1,10,-1,,1,12345
297,1,-1,0,27,-1,,3,12345
601,1,-1,1,1426,-1,,5,12345
2497,1,-1,0,0,8,,6,12345
133,1,-1,0,20,-1,,2,12345
260,1,-1,0,31,-1,,5,12345
496,1,-1,1,11,2,,2,12345
61,1,-1,1,16,6,,8,12345
143,1,-1,1,16,-1,,13,12345
254,1,-1,1,1315,-1,,2,12345
316,1,-1,1,1126,-1,,9,12345
3261,1,-1,0,15,1,,7,12345
976,1,-1,0,0,6,,7,12345
815,1,-1,1,1325,-1,,7,12345
230,1,-1,2,24,-1,,2,12345
94,1,-1,0,1315,-1,,5,12345
395,1,-1,1,1126,-1,,2,12345
900,1,-1,2,15,-1,,6,12345
831,1,-1,2,0,4,,6,12345
252,1,-1,1,1333,-1,,1,12345
64,1,-1,1,19,-1,,2,12345
117,1,-1,0,16,-1,,8,12345
157,1,-1,1,13,4,,9,12345
1060,1,-1,1,27,-1,,6,12345
130,1,-1,0,1323,-1,,5,12345
2306,1,-1,0,0,1,,6,12345
54,1,-1,2,0,-1,,14,12345
77,1,-1,2,1325,-1,,5,12345
141,1,-1,1,11,4,,4,12345
100,1,-1,0,13,4,,4,12345
861,1,-1,1,13,-1,,7,12345
127,1,-1,0,1524,-1,,9,12345
170,1,-1,0,0,-1,,16,12345
948,1,-1,1,14,8,,5,12345
214,1,-1,1,11,4,,8,12345
818,1,-1,0,1324,-1,,7,12345
487,1,-1,1,0,2,,2,12345
218,1,-1,1,26,-1,,8,12345
47,1,-1,0,16,11,,5,12345
58,1,-1,2,13,-1,,14,12345
128,1,-1,99,0,-1,,5,12345
289,1,-1,1,1526,-1,,9,12345
422,1,-1,1,11,-1,,5,12345
51,1,-1,2,19,-1,,8,12345
101,1,-1,1,13,-1,,4,12345
102,1,-1,1,1315,-1,,5,12345
303,1,-1,1,1423,-1,,3,12345
173,1,-1,2,17,-1,,15,12345
314,1,-1,1,1019,-1,,9,12345
869,1,-1,2,1319,-1,,7,12345
128,1,-1,99,25,-1,,9,12345
101,1,-1,1,1330,-1,,8,12345
149,1,-1,0,1324,-1,,4,12345
224,1,-1,0,0,-1,,1,12345
336,1,-1,0,0,-1,,3,12345
895,1,-1,2,1325,-1,,7,12345
777,1,-1,2,1336,-1,,6,12345
225,1,-1,1,0,1,,9,12345
252,1,-1,1,1333,-1,,3,12345
1015,1,-1,1,1024,-1,,7,12345
694,1,-1,0,1330,-1,,7,12345
239,1,-1,0,32,-1,,9,12345
1012,1,-1,0,1320,-1,,6,12345
976,1,-1,1,0,6,,7,12345
114,1,-1,2,20,-1,,9,12345
228,1,-1,1,14,1,,9,12345
694,1,-1,1,1330,-1,,7,12345
101,1,-1,0,1330,-1,,8,12345
63,1,-1,0,1320,-1,,8,12345
203,1,-1,1,1428,-1,,9,12345
211,1,-1,1,19,-1,,8,12345
321,1,-1,1,1118,-1,,1,12345
226,1,-1,1,1433,-1,,3,12345
28,1,-1,1,1524,-1,,8,12345
109,1,-1,1,1320,-1,,9,12345
904,1,-1,2,12,-1,,6,12345
250,1,-1,2,0,2,,2,12345
224,1,-1,0,0,1,,9,12345
807,1,-1,1,0,-1,,10,12345
89,1,-1,1,17,-1,,15,12345
3210,1,-1,1,14,8,,7,12345
1216,1,-1,0,16,2,,6,12345
272,1,-1,0,26,-1,,2,12345
65,1,-1,2,1523,-1,,9,12345
228,1,-1,1,1133,-1,,8,12345
984,1,-1,2,19,-1,,6,12345
904,1,-1,2,1233,-1,,6,12345
283,1,-1,0,16,-1,,2,12345
230,1,-1,2,33,-1,,3,12345
1956,1,-1,1,1532,-1,,6,12345
1268,1,-1,0,23,-1,,7,12345
296,1,-1,1,17,-1,,9,12345
16,1,-1,1,1322,-1,,8,12345
149,1,-1,2,1336,-1,,9,12345
215,1,-1,0,33,-1,,1,12345
344,1,-1,1,33,-1,,3,12345
856,1,-1,0,13,-1,,7,12345
313,1,-1,1,1032,-1,,9,12345
286,1,-1,1,16,2,,9,12345
404,1,-1,1,1123,-1,,5,12345
380,1,-1,1,1326,-1,,3,12345
254,1,-1,0,15,6,,2,12345
64,1,-1,1,1419,-1,,2,12345
113,1,-1,1,1419,-1,,1,12345
904,1,-1,2,1233,-1,,7,12345
62,1,-1,2,16,-1,,4,12345
948,1,-1,1,16,8,,5,12345
196,1,-1,1,15,-1,,11,12345
272,1,-1,1,26,-1,,2,12345
240,1,-1,0,26,-1,,5,12345
232,1,-1,0,1525,-1,,3,12345
321,1,-1,0,13,-1,,3,12345
183,1,-1,0,16,-1,,5,12345
16,1,-1,1,16,11,,8,12345
1358,1,-1,0,0,11,,7,12345
180,1,-1,1,0,-1,,16,12345
10,1,-1,2,19,-1,,2,12345
498,1,-1,1,27,-1,,9,12345
335,1,-1,1,10,-1,,16,12345
757,1,-1,1,1320,-1,,7,12345
345,1,-1,0,23,-1,,3,12345
1438,1,-1,99,0,-1,,6,12345
939,1,-1,1,1319,-1,,7,12345
62,1,-1,2,15,-1,,4,12345
84,1,-1,1,1326,-1,,8,12345
948,1,-1,0,0,8,,5,12345
1002,1,-1,0,26,-1,,6,12345
818,1,-1,0,0,6,,6,12345
1060,1,-1,1,1027,-1,,7,12345
766,1,-1,1,13,4,,7,12345
379,1,-1,0,24,-1,,2,12345
122,1,-1,1,30,-1,,4,12345
36,1,-1,2,15,-1,,8,12345
255,1,-1,1,0,-1,,9,12345
74,1,-1,1,1533,-1,,3,12345
1438,1,-1,99,16,-1,,6,12345
244,1,-1,1,10,1,,1,12345
140,1,-1,1,1020,-1,,2,12345
78,1,-1,0,26,-1,,4,12345
83,1,-1,1,1319,-1,,4,12345
128,1,-1,99,16,-1,,3,12345
262,1,-1,1,1123,-1,,8,12345
143,1,-1,1,1523,-1,,4,12345
179,1,-1,0,26,-1,,8,12345
60,1,-1,1,13,-1,,16,12345
1207,1,-1,0,1315,-1,,6,12345
36,1,-1,2,1318,-1,,8,12345
244,1,-1,1,10,1,,9,12345
900,1,-1,2,18,-1,,6,12345
175,1,-1,1,15,-1,,2,12345
128,1,-1,99,0,1,,1,12345
453,1,-1,0,17,6,,7,12345
553,1,-1,1,1133,-1,,2,12345
266,1,-1,1,1024,-1,,3,12345
175,1,-1,0,1333,-1,,5,12345
105,1,-1,1,16,-1,,15,12345
270,1,-1,2,32,-1,,2,12345
124,1,-1,2,0,4,,8,12345
25,1,-1,0,1328,-1,,4,12345
2800,1,-1,1,14,1,,6,12345
1230,1,-1,1,1019,-1,,7,12345
152,1,-1,0,1525,-1,,2,12345
55,1,-1,0,1333,-1,,8,12345
1040,1,-1,1,13,4,,6,12345
127,1,-1,0,1332,-1,,5,12345
270,1,-1,2,32,-1,,3,12345
75,1,-1,1,1320,-1,,4,12345
87,1,-1,0,15,4,,4,12345
137,1,-1,0,1333,-1,,4,12345
162,1,-1,0,1324,-1,,3,12345
880,1,-1,2,16,4,,7,12345
76,1,-1,1,15,-1,,14,12345
125,1,-1,0,15,4,,8,12345
458,1,-1,0,13,6,,9,12345
233,1,-1,0,18,-1,,1,12345
64,1,-1,1,1415,-1,,2,12345
479,1,-1,1,1323,-1,,2,12345
1247,1,-1,1,0,-1,,11,12345
182,1,-1,1,1319,-1,,5,12345
115,1,-1,1,25,-1,,8,12345
64,1,-1,1,1519,-1,,3,12345
931,1,-1,1,1333,-1,,7,12345
1184,1,-1,2,13,2,,7,12345
73,1,-1,0,1320,-1,,4,12345
406,1,-1,0,17,-1,,3,12345
87,1,-1,2,1326,-1,,4,12345
904,1,-1,2,1220,-1,,6,12345
437,1,-1,1,33,-1,,2,12345
151,1,-1,2,18,-1,,3,12345
107,1,-1,1,1020,-1,,5,12345
1751,1,-1,0,1523,-1,,7,12345
215,1,-1,1,1133,-1,,4,12345
141,1,-1,1,1333,-1,,4,12345
939,1,-1,0,1333,-1,,7,12345
270,1,-1,1,16,1,,1,12345
158,1,-1,2,16,-1,,9,12345
92,1,-1,2,1220,-1,,9,12345
732,1,-1,0,15,6,,6,12345
124,1,-1,1,1520,-1,,3,12345
56,1,-1,2,1523,-1,,4,12345
1848,1,-1,1,1523,-1,,7,12345
247,1,-1,0,0,-1,,9,12345
1010,1,-1,1,1319,-1,,6,12345
191,1,-1,0,33,-1,,8,12345
437,1,-1,1,1132,-1,,3,12345
93,1,-1,1,15,4,,4,12345
254,1,-1,1,1534,-1,,2,12345
1281,1,-1,1,17,1,,7,12345
132,1,-1,1,1433,-1,,1,12345
127,1,-1,1,15,-1,,8,12345
189,1,-1,1,1025,-1,,1,12345
124,1,-1,1,0,4,,8,12345
252,1,-1,1,17,6,,6,12345
1396,1,-1,1,11,4,,6,12345
215,1,-1,1,1124,-1,,4,12345
60,1,-1,0,13,-1,,16,12345
86,1,-1,1,1318,-1,,8,12345
99,1,-1,1,1323,-1,,4,12345
92,1,-1,0,1326,-1,,8,12345
242,1,-1,1,1334,-1,,1,12345
1025,1,-1,1,26,-1,,6,12345
1018,1,-1,1,1519,-1,,7,12345
1149,1,-1,2,33,-1,,6,12345
1488,1,-1,0,16,2,,7,12345
196,1,-1,1,33,-1,,8,12345
248,1,-1,1,18,-1,,3,12345
62,1,-1,2,15,4,,4,12345
1311,1,-1,0,0,11,,6,12345
260,1,-1,0,31,-1,,3,12345
147,1,-1,2,25,-1,,9,12345
87,1,-1,2,1333,-1,,4,12345
886,1,-1,1,1018,-1,,6,12345
267,1,-1,0,16,1,,1,12345
1009,1,-1,0,13,4,,6,12345
274,1,-1,2,13,2,,9,12345
197,1,-1,0,18,-1,,9,12345
1605,1,-1,1,1120,-1,,6,12345
967,1,-1,1,1126,-1,,6,12345
2138,1,-1,1,1532,-1,,7,12345
90,1,-1,0,20,-1,,5,12345
1013,1,-1,2,1333,-1,,7,12345
205,1,-1,1,1115,-1,,9,12345
443,1,-1,1,1123,-1,,3,12345
155,1,-1,0,15,2,,2,12345
61,1,-1,0,15,6,,8,12345
3038,1,-1,1,1418,-1,,7,12345
92,1,-1,1,1424,-1,,8,12345
102,1,-1,0,1320,-1,,3,12345
557,1,-1,1,14,2,,2,12345
39,1,-1,2,25,-1,,8,12345
43,1,-1,2,1536,-1,,9,12345
122,1,-1,1,30,-1,,5,12345
1324,1,-1,1,10,1,,7,12345
155,1,-1,0,1520,-1,,2,12345
358,1,-1,1,0,6,,2,12345
1619,1,-1,0,17,-1,,6,12345
215,1,-1,1,11,-1,,15,12345
1003,1,-1,1,1024,-1,,6,12345
63,1,-1,0,1315,-1,,1,12345
678,1,-1,0,27,-1,,7,12345
89,1,-1,2,1332,-1,,8,12345
281,1,-1,1,1415,-1,,5,12345
818,1,-1,1,0,6,,6,12345
999,1,-1,0,1325,-1,,6,12345
746,1,-1,2,1525,-1,,6,12345
266,1,-1,1,1024,-1,,2,12345
230,1,-1,1,1015,-1,,3,12345
19,1,-1,0,16,6,,4,12345
1071,1,-1,1,13,-1,,6,12345
478,1,-1,1,24,-1,,2,12345
380,1,-1,1,1326,-1,,1,12345
907,1,-1,1,1426,-1,,6,12345
351,1,-1,1,0,-1,,3,12345
55,1,-1,1,0,11,,9,12345
369,1,-1,1,17,6,,5,12345
240,1,-1,1,23,-1,,1,12345
75,1,-1,0,17,4,,7,12345
406,1,-1,1,1133,-1,,9,12345
188,1,-1,2,1326,-1,,9,12345
98,1,-1,1,1423,-1,,8,12345
226,1,-1,0,23,-1,,9,12345
1018,1,-1,1,1325,-1,,6,12345
1638,1,-1,1,1115,-1,,6,12345
295,1,-1,1,10,-1,,3,12345
259,1,-1,0,15,-1,,1,12345
3001,1,-1,1,15,1,,6,12345
55,1,-1,0,0,11,,9,12345
259,1,-1,1,1431,-1,,9,12345
141,1,-1,1,11,-1,,14,12345
1946,1,-1,0,1533,-1,,6,12345
289,1,-1,1,1115,-1,,8,12345
469,1,-1,1,1132,-1,,2,12345
678,1,-1,1,27,-1,,7,12345
155,1,-1,1,15,2,,9,12345
359,1,-1,1,23,-1,,3,12345
1432,1,-1,2,0,2,,6,12345
90,1,-1,1,20,-1,,5,12345
226,1,-1,1,1433,-1,,5,12345
175,1,-1,2,33,-1,,8,12345
155,1,-1,0,15,2,,9,12345
1707,1,-1,1,32,-1,,6,12345
904,1,-1,2,12,4,,7,12345
278,1,-1,2,23,-1,,3,12345
1675,1,-1,0,1520,-1,,6,12345
162,1,-1,1,14,-1,,12,12345
158,1,-1,0,1319,-1,,5,12345
840,1,-1,1,1324,-1,,6,12345
259,1,-1,1,15,-1,,1,12345
962,1,-1,2,1532,-1,,7,12345
3001,1,-1,0,15,1,,6,12345
410,1,-1,1,1025,-1,,8,12345
760,1,-1,1,17,-1,,7,12345
97,1,-1,2,1325,-1,,9,12345
767,1,-1,0,28,-1,,6,12345
19,1,-1,1,16,6,,4,12345
1029,1,-1,1,1032,-1,,7,12345
1439,1,-1,1,16,2,,7,12345
145,1,-1,0,1524,-1,,4,12345
1927,1,-1,1,1524,-1,,6,12345
301,1,-1,0,24,-1,,9,12345
380,1,-1,0,1326,-1,,1,12345
101,1,-1,2,1326,-1,,8,12345
369,1,-1,0,17,6,,5,12345
64,1,-1,1,1519,-1,,2,12345
62,1,-1,2,36,-1,,4,12345
786,1,-1,2,13,4,,7,12345
131,1,-1,1,15,4,,8,12345
1518,1,-1,1,1125,-1,,6,12345
2336,1,-1,0,0,1,,7,12345
2908,1,-1,1,1434,-1,,6,12345
50,1,-1,1,1333,-1,,8,12345
1438,1,-1,99,16,1,,6,12345
481,1,-1,1,1434,-1,,4,12345
198,1,-1,1,34,-1,,5,12345
137,1,-1,2,28,-1,,9,12345
886,1,-1,1,1015,-1,,6,12345
274,1,-1,1,1318,-1,,2,12345
240,1,-1,0,23,-1,,1,12345
102,1,-1,1,1420,-1,,2,12345
69,1,-1,2,0,-1,,13,12345
264,1,-1,0,17,-1,,5,12345
2630,1,-1,0,31,-1,,7,12345
155,1,-1,0,1330,-1,,9,12345
24,1,-1,2,19,-1,,5,12345
1045,1,-1,0,13,-1,,6,12345
351,1,-1,1,10,2,,2,12345
3052,1,-1,0,15,8,,6,12345
250,1,-1,2,0,-1,,3,12345
1619,1,-1,1,17,-1,,6,12345
338,1,-1,1,1425,-1,,5,12345
108,1,-1,2,1336,-1,,8,12345
601,1,-1,1,1433,-1,,2,12345
260,1,-1,1,1032,-1,,5,12345
777,1,-1,2,36,-1,,6,12345
264,1,-1,1,26,-1,,9,12345
228,1,-1,1,14,-1,,1,12345
316,1,-1,1,1033,-1,,2,12345
608,1,-1,1,17,2,,2,12345
1311,1,-1,1,13,11,,6,12345
122,1,-1,0,30,-1,,5,12345
830,1,-1,2,1320,-1,,6,12345
197,1,-1,1,15,-1,,13,12345
1607,1,-1,0,0,-1,,6,12345
403,1,-1,1,1125,-1,,9,12345
399,1,-1,1,1024,-1,,9,12345
498,1,-1,0,27,-1,,9,12345
1690,1,-1,1,23,-1,,6,12345
126,1,-1,0,1520,-1,,9,12345
