"ProjectCoCID","ProjectID","COCCode","Geocode","Address1","Address2","City","State","ZIP","GeographyType","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"47737070","239","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737090","242","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737110","1100","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737120","1099","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737130","1492","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737140","1101","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737150","1103","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737160","1102","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737170","1011","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737180","526","XX-500","391062","2134 Alpine Place","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737190","527","XX-500","391062","2134 Alpine Place","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737200","1497","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
