Last,First
Darby,Jonathan
Darnell,Edwin
Dardenne,Luc
Dash,Julie
Dassin,Jules
Daugherty,Hershel
Daves,Delmer
David,Charles
Davidson,Gordon
Davidson,Martin
Davies,Terence
Davies,Valentine
Davis,Andrew
Davis,Desmond
Davis,Tamra
Day,Ernest
Day,Robert
Dayan,Assi
Dayton,Lyman
Dean,Basil
de Antoni,Alberto
deAntonio,Emil
Dear,William
Dearden,Basil
Dearden,James
deBello,John
deBroca,Philippe
De Bont,Jan
deCanonge,Maurice
Decoin,Henri
de Concini,Ennio
deCordova,Frederick
de Crescenzo,Luciano
Deed,Andre
De Felitta,Frank
Passarelli,Eduardo
Degli Abbati,Alberto
deHeredia,gn
Deitch,Donna
de Jong,MiJke
Dekker,Fred
DeKobra,Maurice
de la Eglesia,Eloy
Delannoy,Jean
de la Patelliere,Denys
De Laurentiis,Dino
De Laurentiis,Frederico
De Laurentiis,Raffaella
Delerue,Georges
de Liguoro,Guiseppe
deLimur,Jean
Dell,Jeffrey
Delluc,Louis
Delpeut,Peter
del Ruth,Roy
DeLuise,Dom
del Toro,Guillermo
Demme,Jonathan
Demme,Ted
Demicheli,gn
DeMille,Cecil B.
DeMille,William C.
DeMille,Agnes
Demy,Jaques
deNiro,Robert
Denis,Claire
Densham,Pen
de Oliveira,Manoel Candido Pinto
de Palma,Brian
de Palma,Frank
Depp,Johnny
Harris,John Derek
de Roubais,Paul
De Santis,Guiseppe
Deschanel,Caleb
de Sica,Vittorio
DeSimone,Tom
Deutsch,Howard
Devers,Claire
deVille,Michel
de Vito,Danny
DeVito,Ralph
Dexter,John
Dhavan,David
Diamond,Isador A.L. (Izzy)
Dickerson,Ernest
diCillo,Tom
Dickens,Charles
James,Dickey
Dickinson,Thorold
Dickson,W.K.L.
Dienstag,Alan
Dieterle,Wilhelm (William)
Dietl,Helmut
DieuDonne,Albert
Digues,Carlos
DiLeo,Fernando
Dillon,John Francis
Dimopoulos,Dino
Dimsey,Ross
Dinner,Michael
Disney,Walt
Djarot,Eros
Dmytryk,Edward
Dobkin,David
Dobson,Kevin
Dolan,Robert Emmett
Doillon,Jaques
Dolz,Sonia Herman
Donaldson,Roger
Donatien,gn
Donen,Stanley
Dong,Arthur
Donnelly,Dennis
Donner,Clive
Donner,Richard
Donohue,Jack
Donoghue,Mary Agnes
Donovan,King
Donovan,Martin
Donskoi,Mark
Dorman,Joseph
Dorrie,Doris
Douglas,Gordon
Douglas,Kirk
Douglas,Robert
Dowling,Kevin
Dovzhenko,Alexandr
Downey,Robert
Doyle,Arthur Conan
Drabo,Adama
Drach,Michel
Dragojevic,Srdjan
Dragoti,Stan
Drazan,Anthony
Dreier,Hans
Dreifuss,Arthur
Dreyer,Carl Theodor
Drilling,Eric
Dubroux,Danielle
Du Chau,Frederik
Dudow,Slatan
Dugan,Dennis
Dugowson,Martine
Duigan,John
Duffell,Peter
Duke,Bill
Duke,Daryl
Saisset-Schneider,Charlotte-E.G.
Dumont,Bruno
Duncan,Peter
Dunlap,Richard
Dunn,Gilbert
Dunne,Dominick
Liebling,Rachel
Dunn,Linwood
Dunning,George
Dunne,Griffin
Dunne,Philip
Dunye,Cheryl
Duparc,Henri
Dupont,E.A.
Durand,Jean
Duras,Marguerite
Duval,Daniel
Duvall,Robert
Duvivier,Julien
Dwan,Alan
Joyce,Adrien
Eastwood,Clint
Eckman,Hasse
Edel,Uli
Eddington,Samsom
Edgren,Gustav
Edison,Thomas Alva
McEdwards,William Blake
Edwards,Buck
Edwards,J. Gordon
Edwards,Henry
Edwards,William
Edzard,Christine
Egoyan,Atom
Eichorn,Franz
Eisenstein,Sergei
Eisner,Hal
Ek,Matt
Elias,Michael
Ellen,Doug
Elliott,Stephan
Ellis,Bret Easton
Ellis,David R.
Ellis,J
Elman,Irving
Else,John
Folkard,William (Maurice)
Emmerich,Roland
Enders,Robert
Endfield,Cy
English,John
Englund,George
Enright,Ray
Ephron,Henry
Ephron,Nora
Epstein,Jean
Epstein,Julius J.
Epstein,Marie
Epstein,Philip G.
Epstein,Robert
Erschbamer,Georg
Erskine,Chester
Essex,Harry
Eszterhaz,Joe
Estevez,Emilio
Etaix,Pierre
Eustache,Jean
Evans,David Mickey
Eyres,John
Faiman,Peter
Fairchild,William
Fairfax,Ferdinand
Falconi,gn
Falena,Ugo
Fanaka,Jamaa
Fancher,Hampton
Fanck,Arnold
Fansten,Jaques
Fargo,James
Farrelly,Peter
Farrow,John
Fassbinder,Rainer Werner
Favio,Leonardo
Feist,Felix E.
Feldman,Richard K.
Felter,James M.
Fellini,Frederico
Ferrara,Abel
Ferren,Bram
Ferrer,Jose
Ferrer,Mel
Ferreri,Marco
Ferrin,Frank
Ferris,Costas
Feuillade,Louis
Fescourt,Henri
Frederix,Jaques
Field,Connie
Figgis,Mike
Finch,Nigel
Fincher,David
Finkleman,Ken
Firstenberg,Sam
Fishman,Billy
Fisk,Jack
Fitzgerald,Thom
Fitzmaurice,George
Fischler,Steven
Fisher,Terrence
Fiveson,Robert S.td>
Flaherty,Paul
Flaherty,Robert J.
Flaubert,Guistine
Fleder,Gary
Fleischer,Dave
Fleischer,Max
Fleischer,Richard
Florentine,Isaac
Fleming,Arthur
Fleming,Ian Lancaster
Fleming,Victor
Flender,Rodman
Florey,Robert
Flood,James
Flynn,John
Flynn,Tom
Foder,Ladislav
Fokkema,Frouke
Foley,James
Foley,Maureen
Folsey,George
Clarke,John
Forcier,Marc-Andre
Ford,Aleksander
Ford,Hugh
Forde,Eugene
Seymour,Thomas (Walter)
Forman,Milos
Frohs,Willi
Forsyth,Bill
Forsyth,Ed
Fortenberry,John
Pastrone,Giovanni (Piero)
Fosse,Bob
Foster,David
Foster,Jodie
Foster,Lewis R.
Foster,Norman
Fox,W.
Frakes,Jonathan
Francia,Aldo
Franciolini,Gianni
Francis,Freddie
Francisci,Pietro
Franco,Jesse (Jesus)
Franju,Georges
Frank,Charles
Frank,Melvin
Frankel,David
Frankenheimer,John
Franklin,Carl
Franklin,Chester M.
Franklin,Howard
Franklin,Richard
Franklin,Sidney
Frawley,James
Frears,Stephen
Freda,Riccardo
Freed,Arthur
Freedman,Jerrold
Freeland,Thornton
Freeman,Morgan
Fregonese,Hugo
French,Harold
French,Lloyd
Frend,Charles
Freund,Karl
Freundlich,Bart
Fricke,Ron
Friedkin,William
Friedman,Howard
Friend,fn
Frost,Lee
Froemke,Susan
Fruet,William
Fucci,Thomas A.
Fuest,Robert
Fukasakyu,Kinjo
Fuller,Samuel
Fukuda,Jun
Funari,Vicky
Furst,Anton
Furtlinger,fn1
Furie,Sidney J.
Gabel,Shainee
Gad,Urban
Gage,John
Gallo,Vincent
Gallone,Carmine
Gallu,Samuel
Gam,Rita
Gance,Abel
Garcia Marquez,Gabriel
Garcia,Nicole
Garcia,Risa Bramon
Gardner,Herb
Gardos,Peter
Garfein,Jack
Garnett,Tay
Garrel,Phillip
Garrett,Lila
Garrett,Tony
Garris,Mick
Gast,Leon
Gastyne,gn
Gaugh,Homer
Gaup,Nils
Gaziadis,Dimitris
Gazcon,Gilberto
Geffen,David
Geller,Dan
Gemes,Jozsef
Genet,Jean
Genina,Augusto
George,Burton
Georgiadis,Vassilis
Gerima,Haile
Gering,Marion
Germi,Pietro
Gerrard,Gene
Gershwin,George
Gershwin,Ira
Gessner,Nicolas
Getin,Sinan
Ghatak,Ritwiik
Ghose,Goutam
Gibbons,Cedric
Gibbons,Duncan
Gibbons,Joe
Gibson,Alan
Gibson,Brian
Gibson,Mel
Bilbert,Brian
Gilbert,Lewis
Giler,David
Gillard,Stuart
Gillespie,Jim
Gilliam,Terry
Gilliat,Sidney
Gilliatt,Penelope
Gilling,John
Gilroy,Frank D.
Ginsberg,Milton Moses
Gion,Christian
Girard,Bernard
Girard,Francois
Girault,Jean
Girod,Francis
Girdler,William
Gisler,Marcel
Glaser,Paul Michael
Glassman,Arnold
Glatter,Lesli Linka
Glatzer,Richard
Glen,John
Glenville,Peter
Glickenhaus,James
Glickler,Paul
Glimcher,Arnold
Glowna,Vadim
Goddard,Jim
Godard,Jean-Luc
Godfrey,Peter
Golan,Menahem
Gold,Jack
Goldbeck,Willis
Goldberg,Gary David
Goldman,Bo
Goldman,James
Goldman,William
Goldsmith,Jerry
Goldstone,James
Goldfish,Sam
Goldwyn,Toni
Gonsalvi,Achille
Goodchild,gn
Goodwin,Fred
Goodwins,Leslie
Gopalakrishnan,Adoor
Gordon,Keith
Gordon,Michael
Gordon,Robert
Gordon,Richard
Gordon,Steve
Gordon,Stuart
Gordy,Berry
Goretta,Charles
Gormley,Charles
Gornick,Michael
Gorris,Marleen
Gosnell,Raja
Gottlieb,Carl
Gould,C.S.
Goulding,Alfred J.
Goulding,Edmund
Graham,William
Grainger,J.Edmund
Grall,Sebastien
GranierDeferre,Pierre
Grant,Brian
Grant,James Edward
Grasshoff,Alex
Grauman,Walter
Gray,gary
Gray,John
Grayson,Godfrey
Green,Alfred E.
Green,David
Green,Guy
Green,Hilton S.
Green,Walton
Greene,David
Greenaway,Peter
Greenhut,Robert
Greenspan,Bud
Greenwald,Margaret (Maggie)
Greenwald,Robert
Greyson,John
Grieco,Sergio
Gries,Tom
Griffith,David Wark
Griffith,Charles
Griffith,Edward H.
Griffith,Raymond
Griffiths,Mark
Grigoriou,Grigoris
Grimaldi,Aurelio
Grinde,Nick
Grosbard,Ulu
Grossman,Adam
Grot,Anton
Grubb,Davis
Grune,Karl
Grusin,Dave
Guare,Ohn
Guazzoni,Enrico
Guber,Peter
Guerra,Ruy
Guest,Christopher
Guest,Val
Guillermin,John
Guitry,Sacha
Gunn,Bill
Gutierrez,Sebastian
Guy,Alice
Gyllenhaal,Steve
Haas,Charles
Haas,George
Haas,Hugo
Haas,Philip
Hackford,Taylor
Haggar,William
Haedrich,Rolf
Haggard,Piers
Haines,Randa
Haldane,Bert
Hale,Jeffrey
Hale,William
Hall,Alexander
Hall,Peter
Hall,Vondie Curtis
Hallenbeck,Darrell
Haller,Danny
fname,xn
Halperin,Victor
Hamer,Robert
Hamilton,David
Hamilton,William
Hamilton,Guy
Hamm,Nick
Hammett,Dashiell
Hampton,Christopher
Hancock,John
Hand,David
Handa,Vipin
Handke,Peter
Hani,Susumu
Hanks,Tom
Hansen,Rolf
Hanson,Curtis
Hara,Kazuo
Hardy,Joseph
Hardy,Robin
Hark,Tsui
Harlan,Veit
Harlin,Renny
Harling,Robert
Harlow,John
Harmon,Robert
Harper,fn
Harrington,Curtis
Harris,Damian
Harris,Denny
Harris,Frank
Harris,Leslie
Harris,James B.
Harris,Wendell jr.
Harrison,Joan
Harrison,John
Harrison,Matthew
Harryhausen,Ray
Hart,Harvey
bn,gn
Hartley,Hal
Hartman,Don (Samuel)
Harvey,Anthony
Harvey,Rupert
Hathaway,Henry
Haskin,Byron
Hasani,Linda
Hastrup,Jannik
Hatta,Kayo
Haynes,Todd
Hawks,Howard
Hawn,Goldie
Hayers,Sidney
Hayes,John Michael
Head,Edith
Heap,Jonathan
Hecht,Ben
Heckerling,Amy
Hedden,Roger
Heer,Johanna
Heerman,Victor
Heffron,Richard T.
Heisler,Stuart
Heller,Daniel
Heller,Otto
Hellinger,Mark
Hellman,Jerome
Hellman,Monte
Assonitis,Sonia (Oliver)
Hemecker,Ralph
Hemmings,David
Hendrie,James
Henkel,Kim
Henley,Hobart
Hennenlotter,Frank
Smahl,Astrid
Henning-Jensen,Baree
von Henreid,Paul George Julius
Henriques,Julian
Henry,Buck
Henson,Cheryl
Henson,Jim
Henson,Robbie
Henzell,Perry
Herbrich,Oliver
Herek,Stephen
Hermosillo,Jaime Humberto
Heroux,Denis
Herrington,Rowdy
Herrmann,Bernard
Herskovitz,Marshall
Herzog,Werner
M.Herman,Mark
Herrmann,Bernard
Hessler,Gordon
Carter,John Charlton
Heumann,Eric
Hewitt,Pete
Heyes,Douglas
Heyward,Loius M.
Hibbs,Jesse
Hicks,Sir Seymour
Hicks,Scott
Higgins,Colin
Hill,Bob
Hill,George
Hill,George Roy
Hill,Jack
Hill,James
Hill,Robert F.
Hill,Robert
Hill,Sinclair
Hill,Walter
Hiller,Arthur
Hills,David
Hillyer,Lambert
Hilton,Arthur
Himena,Tadeyoshi
Hinds,Anthony
Hitchcock,Sir Alfred
Hirokawa,Kazuyuki
Hirokazu,Kore-eda
Hirsch,Steven
Hirszman,Leon
Hoblit,Gregory
Hochbaum,Werner
Hodges,Mike
Hodgson,James Samuel
Hoellering,Goerge
Hoffman,Herman
Hoffman,Kurt
Hoffman,Michael
Hofsiss,Jack
Hogan,David
Hogan,James P.
Hogan,Paul J.
Holbrook,Hal
Holland,Agnieszka
Holland,Ted
Holleb,Alan
Holt,Seth
Honda,Inoshiro
Hondo,Med
Hong,Elliot
Honigmann,Heddy
Hooper,Tobe
Hopper,Dennis
Hopper,E.Mason
Hopper,Jerry
Hooks,Kevin
Hopkins,Anthony
Hopkins,Stephen
Horman,Sherry
Leonard,Horn
Hornblow,Arthur Jr.
Horne,James W.
Horner,Harry
Hoskins,Bob
Robert,Hossein
Hough,John
Houseman,John
Houston,Robert (Bobby)
Stainer,Leslie
Howard,Cy
Howard,Ronald
Howard,William K.
Wong,Tung Jim
Howell,C. Thomas
Howitt,Peter
Howley,John
Hsiaa-hsien,Hou
Hubbard,Lucien
Hudlin,Reginald
Hudlin,Warrington
Hudson,Hugh
Hughes,Albert
Hughes,Allen
Hughes,Bronwen
Hughes,Howard
Hughes,John
Hughes,Ken
Hughes,Terry
Hui,A.
Huffman,Dustin
Humberstone,H.Bruce
Humphrey,William
Hung,Tran Anh
Hunt,Peter
Fuss,Martin (Ross)
Hunter,Tim
Huntgeburth,Hermine
Hurd,Gale Ann
Hurst,Brian Desmond
Hussein,gn
Hussein,Waris
Huston,Danny
Huston,John
Hutton,Timothy
Hyams,Peter
Hytner,Nicholas
Cox,Anthony Berkeley
Im,Kwon-Taek
Imamura,Shohei
Imboden,Markus
Ince,Ralph
Ince,Thomas H.
Hitchcock,Reginald
Iosseliani,Otar
Ireland,Dan
Ireland,John
Irvin,John
Irving,David
Isasmendi,Antonio Isasi
Ismael,Usmar
Israel,Neal
Itami,Juzo
Ivory,James
Jablonski,Dariusz
Jackson,Mick
Jackson,Patrick
Jackson,Wilfred
Jackson,Peter
Jacobs,Alan
Jacobson,Arthur
Jaeckin,Just
Jacquot,Benoit
Jaglom,Henry
Jameson,Jerry
Jarman,Derek
Jarmusch,Jim
Jarrot,Charles
Jason,Leigh
Jean,Raymond
Jeffries,Lionel
Jeffrey,Tom
Jenkins,Tamara
Jennings,Humphrey
Jessup,Harley
Jewell,Austen
Jewison,Norman
Jhabvala,Ruth Prawer
Jimenez,Neal
Joanou,Phil
Jodorowsky,Alexendro
Joffe,Charles R.
Joffe,Mark
Joffe,Roland
Johnson,Alan
Johnson,Lamont
Johnson,Mark Steven
Johnson,Patrick Read
Johnson,Nunally
Johnston,Joe
Jones,Amy
Jones,Charles M. (Chuck)
Jones,David
Jones,F.Richard
Jones,Harmon
Jones,Kriak
Jones,Lee
Jones,James Cellan
Jones,Quincy
McQueen,L.E.
Jones,Terry
Jordan,Glenn
Jordan,Neil
Jordon,Glenn
Julian,Rupert
Julien,Isaac
Eastman,Carol
Judge,Joel
Judge,Mike
Junger,Gil
Junghans,Carl
Junil,Zheng
Hertz,Nathan
Justiniano,Gonzalo
Jutzi,Piel
Kaczender,Georges
Kadar,Jan
Kagan,Jeremy Paul
Kaige,Chen
Kalatozov,Mikhail
Kalin,Tom
Kaminsky,Leon
Kan,Je Gyu
Kane,Joe
Kanew,Jeff
Kanganis,Charles T.
Kanievska,Marek
Kanin,Garson
Kaplan,Jonathan
Kaplan,Nelly
Kaplan,Richard
Kapoor,Raj
Kapur,Shehkar
Karbelnikoff,Michael
Kardos,Leslie
Karnad,Girish
