ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1362,28,Organization C - ES,,2017-03-22,,1,0,1,,,4,2,,2017-03-22 10:57:27,2022-08-15 12:16:04,,,310050732
1366,106,Organization Q - RRH - 2,,2017-04-05,,1,13,3,2,,4,2,,2017-04-05 11:46:02,2018-10-12 11:48:11,,,310050732
1376,119,Organization S - PSH,,2017-05-03,2020-01-25,1,3,3,,,4,2,,2017-05-03 11:18:10,2021-01-14 14:36:34,,,310050732
1377,4,Organization A - RRH,,2017-05-08,,1,13,3,2,,4,2,,2017-05-08 14:10:59,2019-03-19 11:57:04,,,310050732
1385,80,Organization L - OPH,,2017-07-17,,1,9,3,,,4,2,,2017-07-17 12:12:38,2021-05-05 16:40:23,,,310050732
1394,49,Organization H - TH - 2,,2017-10-01,2020-09-30,1,2,1,,,4,2,,2017-10-03 07:58:41,2022-01-25 11:52:11,,,310050732
1395,48,Organization G - SH,,2017-10-01,,1,8,1,,,4,2,,2017-10-06 11:34:33,2019-10-01 09:18:05,,,310050732
1396,96,Organization O - ES,,2017-10-01,,1,0,1,,,4,2,,2017-10-12 13:16:46,2019-03-19 11:56:20,,,310050732
1397,6,Organization B - PSH - 2,,2017-10-01,,1,3,1,,,4,2,,2017-10-12 13:20:39,2021-11-30 17:44:12,,,310050732
1405,462,Organization Y - RRH,,2018-01-01,,1,13,3,2,,4,2,,2017-10-26 10:34:29,2020-01-15 10:38:32,,,310050732
1408,47,Organization F - RRH,,2018-01-01,,1,13,3,2,,4,2,,2017-10-26 12:48:07,2021-05-04 09:59:33,,,310050732
1416,55,Organization J - RRH,,2017-12-26,,1,13,3,2,,4,2,,2017-12-26 15:25:20,2021-12-09 17:23:29,,,310050732
1418,96,Organization O - RRH - 3,,2018-01-01,,1,13,3,2,,4,2,,2018-01-04 15:36:29,2020-06-23 11:40:31,,,310050732
1421,97,Organization P - OPH,,2018-01-19,2020-01-01,1,10,1,,,4,2,,2018-01-19 12:56:24,2022-01-25 11:46:32,,,310050732
1427,75,Organization K - RRH,,2018-01-01,,1,13,3,2,,4,2,,2018-02-13 11:14:00,2018-10-12 10:11:08,,,310050732
1428,109,Organization R - RRH - 2,,2018-01-01,,1,13,3,2,,4,2,,2018-02-13 11:16:10,2021-12-09 17:08:01,,,310050732
1435,96,Organization O - PSH,,2018-04-17,,1,3,2,,,4,2,,2018-04-17 14:00:16,2021-05-05 16:48:48,,,310050732
1448,55,Organization J - PSH,,2018-10-01,,1,3,1,,,4,2,,2018-08-10 08:25:51,2021-05-05 16:29:25,,,310050732
1449,97,Organization P - OPH - 2,,2018-10-01,,1,10,1,,,4,2,,2018-08-10 08:30:14,2021-05-05 15:13:58,,,310050732
1451,96,Organization O - TH - 2,,2018-10-01,2020-09-30,1,2,1,,,4,2,,2018-09-11 13:10:57,2021-05-03 13:08:30,,,310050732
1452,40,Organization D - TH - 5,,2018-10-01,,1,2,2,,,4,2,,2018-09-11 14:01:16,2019-10-01 09:19:28,,,310050732
1453,93,Organization M - TH - 4,,2018-10-01,,1,2,2,,,4,2,,2018-09-11 14:07:45,2019-10-01 09:19:44,,,310050732
1459,462,Organization Y - ES,,2018-11-29,,1,0,3,,,4,2,,2018-11-29 13:53:52,2022-01-25 13:29:20,,,310050732
1476,143,Organization U - PSH,,2019-01-01,,1,3,1,,,4,2,,2018-12-11 08:41:54,2021-12-09 18:13:17,,,310050732
1482,143,Organization U - TH,,2019-03-01,,1,2,1,,,4,2,,2019-01-22 11:57:13,2020-12-09 11:36:01,,,310050732
1484,450,Organization W - RRH,,2019-01-01,,1,13,3,2,,4,2,,2019-02-19 09:24:22,2021-12-09 17:51:40,,,310050732
1487,139,Organization T - PSH,,2019-01-01,,1,3,3,,,4,2,,2019-03-25 15:16:16,2022-01-21 08:19:51,,,310050732
1488,97,Organization P - PSH,,2019-01-01,,1,3,3,,,4,2,,2019-03-25 15:31:48,2022-01-21 08:29:12,,,310050732
1490,47,Organization F - ES - 3,,2019-01-21,,1,0,1,,,4,2,,2019-03-27 09:19:27,2022-02-17 14:44:37,,,310050732
1492,4,Organization A - RRH - 2,,2019-06-10,,1,13,,1,,4,2,,2019-06-10 07:32:23,2021-12-09 17:39:39,,,310050732
1494,473,Organization Z - RRH - 3,,2019-06-13,,1,13,3,2,,4,2,,2019-06-13 11:13:12,2021-05-05 23:35:43,,,310050732
1495,40,Organization D - RRH,,2019-09-01,,1,13,3,2,,4,2,,2019-07-01 10:38:34,2019-08-22 14:49:53,,,310050732
1496,97,Organization P - RRH,,2019-01-01,,1,13,3,2,,4,2,,2019-07-08 14:30:48,2020-01-23 11:33:22,,,310050732
1510,453,Organization X - PSH,,2015-10-01,,1,3,3,,,4,2,,2019-10-22 14:32:43,2022-01-21 08:23:45,,,310050732
1516,473,Organization Z - PSH,,2020-01-01,,1,3,1,,,4,2,,2020-01-15 10:36:00,2022-02-14 12:20:40,,,310050732
1517,50,Organization I - RRH,,2020-01-01,,1,13,3,2,,4,2,,2020-01-15 10:37:58,2021-12-09 18:26:08,,,310050732
1518,93,Organization M - RRH - 2,,2020-01-01,,1,13,3,2,,4,2,,2020-01-15 16:25:55,2021-04-27 07:48:57,,,310050732
1520,47,Organization F - RRH - 2,,2020-03-23,,1,13,3,2,,4,2,,2020-03-23 11:17:32,2020-10-26 14:06:45,,,310050732
1537,55,Organization J - PSH - 2,,2020-06-09,,1,3,2,,,4,2,,2020-06-09 16:43:28,2021-05-05 16:50:04,,,310050732
1543,97,Organization P - RRH - 2,,2020-03-01,,1,13,3,2,,4,2,,2020-07-14 17:09:42,2020-10-19 09:51:36,,,310050732
1544,28,Organization C - RRH - 2,,2020-03-01,,1,13,3,2,,4,2,,2020-07-14 17:21:33,2021-05-04 09:59:23,,,310050732
1545,143,Organization U - RRH,,2020-03-01,,1,13,3,2,,4,2,,2020-07-14 17:27:14,2020-10-19 09:53:32,,,310050732
1546,45,Organization E - RRH,,2020-03-01,,1,13,3,2,,4,2,,2020-07-14 17:30:19,2020-10-19 09:56:15,,,310050732
1550,28,Organization C - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-07-15 12:27:42,2020-10-22 19:16:01,,,310050732
1556,95,Organization N - RRH - 2,,2020-03-01,,1,13,3,2,,4,2,,2020-07-16 13:23:03,2020-10-19 09:50:43,,,310050732
1558,119,Organization S - RRH - 4,,2020-03-01,,1,13,3,2,,4,2,,2020-07-20 10:49:57,2021-04-27 07:40:47,,,310050732
1559,93,Organization M - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-07-20 10:52:22,2020-10-22 19:19:50,,,310050732
1563,95,Organization N - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-07-22 12:32:52,2020-10-22 19:11:32,,,310050732
1566,97,Organization P - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-07-24 10:13:31,2020-10-19 09:58:05,,,310050732
1568,28,Organization C - RRH - 4,,2020-03-01,,1,13,3,2,,4,2,,2020-07-24 15:14:43,2020-10-22 19:12:45,,,310050732
1575,55,Organization J - RRH - 2,,2020-03-01,,1,13,3,2,,4,2,,2020-07-27 10:29:12,2020-10-19 09:50:06,,,310050732
1585,109,Organization R - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-07-28 15:53:50,2020-10-19 09:55:01,,,310050732
1601,139,Organization T - RRH - 2,,2020-03-01,,1,13,3,2,,4,2,,2020-09-08 16:24:07,2020-10-22 19:01:51,,,310050732
1606,4,Organization A - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-09-28 09:54:25,2020-10-19 09:55:44,,,310050732
1610,48,Organization G - RRH,,2020-03-01,,1,13,3,2,,4,2,,2020-10-19 15:51:54,2020-10-21 11:22:07,,,310050732
1611,55,Organization J - RRH - 3,,2020-03-01,,1,13,3,2,,4,2,,2020-10-21 11:17:47,2020-10-21 11:18:32,,,310050732
1614,55,Organization J - OPH,,2020-10-01,,1,9,3,,,4,2,,2020-10-28 08:36:39,2021-12-13 17:55:53,,,310050732
1625,139,Organization T - PSH - 2,,2021-01-20,,1,3,2,,,4,2,,2021-01-20 15:35:34,2021-12-09 18:16:52,,,310050732
1629,50,Organization I - PSH,,2021-02-05,,1,3,1,,,4,2,,2021-02-05 14:59:53,2021-08-10 16:21:21,,,310050732
1638,47,Organization F - PSH,,2021-04-14,,1,3,3,,,4,2,,2021-04-14 15:07:54,2022-01-21 08:21:21,,,310050732
1668,234,Organization V - TH - 2,,2021-05-07,,1,2,2,,,4,2,,2021-05-07 15:43:51,2022-08-09 16:20:06,,,310050732
1672,48,Organization G - TH - 2,,2021-06-02,,1,2,1,,,4,2,,2021-06-02 10:36:13,2021-06-02 10:39:59,,,310050732
1680,109,Organization R - PSH - 2,,2021-08-01,,1,3,1,,,4,2,,2021-08-10 15:46:07,2022-06-21 10:17:23,,,310050732
1683,106,Organization Q - ES - 2,,2021-08-01,,1,0,3,,,4,2,,2021-09-01 10:37:23,2021-12-13 17:54:53,,,310050732
1684,47,Organization F - RRH - 3,,2021-09-01,,1,13,3,2,,4,2,,2021-09-23 10:59:55,2021-09-23 11:16:02,,,310050732
1685,462,Organization Y - RRH - 2,,2021-09-01,,1,13,3,2,,4,2,,2021-09-23 11:00:26,2021-09-23 11:16:18,,,310050732
1686,97,Organization P - RRH - 4,,2021-09-01,,1,13,3,2,,4,2,,2021-09-23 11:01:05,2021-09-23 11:16:26,,,310050732
1690,143,Organization U - ES,,2021-11-01,,1,0,3,,,4,2,,2021-09-23 11:33:47,2022-01-28 11:19:27,,,310050732
1694,139,Organization T - RRH - 3,,2021-10-15,,1,13,3,2,,4,2,,2021-10-07 14:56:44,2022-09-26 12:46:41,,,310050732
1706,97,Organization P - PSH - 2,,2022-02-01,,1,3,1,,,4,2,,2022-02-24 14:08:40,2022-02-24 14:11:40,,,310050732
1723,450,Organization W - OPH,,2022-05-06,,1,9,2,,,4,2,,2022-05-06 09:23:12,2022-05-06 10:00:10,,,310050732
1724,48,Organization G - PSH,,2022-05-06,,1,3,2,,,4,2,,2022-05-06 09:47:26,2022-05-06 10:01:04,,,310050732
1728,55,Organization J - RRH - 4,,2022-05-31,,1,13,3,2,,4,2,,2022-05-31 15:03:03,2022-09-26 12:50:04,,,310050732
1729,48,Organization G - RRH - 2,,2022-05-31,,1,13,3,2,,4,2,,2022-05-31 16:00:46,2022-09-26 12:50:39,,,310050732
1731,75,Organization K - RRH - 2,,2022-06-01,,1,13,3,2,,4,2,,2022-06-01 09:42:55,2022-06-01 09:56:12,,,310050732
1732,96,Organization O - RRH - 4,,2022-06-01,,1,13,3,2,,4,2,,2022-06-01 09:52:20,2022-09-26 12:52:22,,,310050732
1735,234,Organization V - RRH,,2022-06-01,,1,13,3,2,,4,2,,2022-06-01 10:47:32,2022-09-26 12:58:47,,,310050732
1740,143,Organization U - RRH - 2,,2022-06-01,,1,13,3,2,,4,2,,2022-06-01 11:34:01,2022-09-26 13:02:09,,,310050732
1745,95,Organization N - ES - 2,,2022-06-01,,1,0,1,,,4,2,,2022-06-27 13:36:05,2022-06-27 13:39:00,,,310050732
234,119,Organization S - ES,,2001-08-27,,1,0,1,,,4,2,,2001-08-27 14:04:40,2021-01-04 12:28:32,,,310050732
256,93,Organization M - TH,,2001-09-28,,1,2,2,,,4,2,,2001-09-28 12:10:13,2018-10-12 11:46:16,,,310050732
263,234,Organization V - TH,,2001-09-28,,1,2,2,,,4,2,,2001-09-28 21:50:38,2021-10-07 11:17:09,,,310050732
340,28,Organization C - TH,,2002-02-24,,1,2,1,,,4,2,,2002-02-24 15:43:20,2022-03-24 09:12:05,,,310050732
342,40,Organization D - TH,,2002-02-24,,1,2,1,,,4,2,,2002-02-24 15:49:23,2022-03-24 09:08:51,,,310050732
388,40,Organization D - TH - 2,,2002-05-02,,1,2,1,,,,2,,2002-05-02 11:31:47,2022-03-24 09:15:09,,,310050732
389,96,Organization O - TH,,2002-05-02,,1,2,1,,,4,2,,2002-05-02 15:24:10,2018-10-12 11:16:01,,,310050732
40,49,Organization H - TH,,2001-06-20,,1,2,2,,,4,2,,2001-06-20 16:46:41,2021-05-18 11:23:09,,,310050732
414,47,Organization F - ES,,2003-02-20,,1,0,2,,,4,2,,2003-02-20 15:05:42,2022-02-03 12:38:22,,,310050732
450,45,Organization E - TH,,2003-08-03,,1,2,2,,,4,2,,2003-08-03 10:05:29,2019-01-09 12:31:49,,,310050732
475,93,Organization M - ES - 2,,2003-08-03,,1,0,1,,,4,2,,2003-08-03 14:35:30,2019-01-22 12:01:50,,,310050732
486,4,Organization A - ES,,2003-08-03,,1,0,1,,,4,2,,2003-08-03 16:44:07,2018-10-12 11:19:09,,,310050732
488,95,Organization N - TH,,2003-08-03,,1,2,1,,,4,2,,2003-08-03 17:14:40,2018-10-12 11:19:53,,,310050732
549,139,Organization T - ES,,2014-11-01,,1,0,1,,,4,2,,2004-11-11 15:19:46,2018-10-12 11:29:48,,,310050732
55,106,Organization Q - TH,,2001-06-22,,1,2,1,,,4,2,,2001-06-22 16:17:27,2019-01-09 12:24:20,,,310050732
563,473,Organization Z - ES,,2005-03-01,,1,0,1,,,4,2,,2005-03-01 15:23:51,2018-10-12 11:11:54,,,310050732
565,93,Organization M - PSH,,2005-03-01,,1,3,1,,,4,2,,2005-03-01 15:25:44,2018-10-12 08:55:01,,,310050732
606,473,Organization Z - TH,,2005-06-30,,1,2,1,,,4,2,,2005-06-30 14:52:18,2018-10-12 11:22:18,,,310050732
607,234,Organization V - ES,,2005-06-30,,1,0,1,,,4,2,,2005-06-30 14:53:33,2018-10-12 11:21:53,,,310050732
608,6,Organization B - TH - 2,,2005-06-30,,1,2,1,,,4,2,,2005-06-30 14:54:54,2018-10-12 11:23:13,,,310050732
609,97,Organization P - ES,,2005-06-30,,1,0,1,,,4,2,,2005-06-30 14:56:38,2020-11-18 14:54:02,,,310050732
632,4,Organization A - PSH,,2005-10-11,,1,3,2,,,4,2,,2005-10-11 10:11:17,2021-12-07 12:56:47,,,310050732
671,97,Organization P - ES - 2,,2006-03-24,,1,0,1,,,4,2,,2006-03-24 12:50:21,2018-10-12 11:21:16,,,310050732
712,55,Organization J - ES,,2007-04-19,,1,0,1,,,4,2,,2007-04-19 15:14:51,2018-10-12 11:19:32,,,310050732
717,119,Organization S - ES - 2,,2007-03-19,,1,0,3,,,4,2,,2007-06-19 10:48:08,2021-05-04 09:59:44,,,310050732
724,40,Organization D - TH - 3,,2007-07-23,,1,2,2,,,4,2,,2007-07-23 09:24:01,2021-05-04 10:00:36,,,310050732
735,93,Organization M - PSH - 2,,2007-11-07,,1,3,3,,,4,2,,2007-11-07 10:34:30,2021-12-07 12:58:13,,,310050732
760,93,Organization M - TH - 2,,2008-06-25,,1,2,2,,,4,2,,2008-06-25 13:05:55,2018-10-12 10:00:11,,,310050732
773,106,Organization Q - ES,,2008-09-16,,1,0,3,,,4,2,,2008-09-16 09:07:41,2022-01-25 13:27:26,,,310050732
780,28,Organization C - PSH,,2008-09-16,,1,3,3,,,4,2,,2008-09-16 09:31:33,2021-12-09 18:02:56,,,310050732
862,473,Organization Z - TH - 2,,2010-02-12,,1,2,3,,,4,2,,2010-02-12 14:08:26,2018-10-12 11:46:58,,,310050732
863,55,Organization J - TH,,2010-02-12,,1,2,3,,,4,2,,2010-02-12 14:09:14,2018-10-12 11:45:08,,,310050732
877,4,Organization A - ES - 2,,2010-08-13,,1,0,1,,,4,2,,2010-08-13 15:41:16,2018-10-12 11:46:36,,,310050732
906,109,Organization R - PSH,,2010-11-10,,1,3,1,,,4,2,,2010-11-10 13:45:44,2018-10-12 11:22:43,,,310050732
907,234,Organization V - PSH,,2010-11-10,,1,3,1,,,4,2,,2010-11-10 14:34:14,2021-11-30 17:41:28,,,310050732
927,48,Organization G - TH,,2011-01-14,,1,2,1,,,4,2,,2011-01-14 14:12:22,2020-06-19 11:53:30,,,310050732
93,93,Organization M - ES,,2002-10-26,,1,1,1,,,4,2,,2001-06-29 15:25:09,2022-06-27 14:05:59,,,310050732
95,50,Organization I - ES,,2009-09-30,,1,0,1,,,4,2,,2001-07-10 15:38:15,2019-05-29 13:30:54,,,310050732
952,40,Organization D - TH - 4,,2011-06-09,,1,2,1,,,4,2,,2011-06-09 10:52:33,2021-05-03 13:09:21,,,310050732
97,48,Organization G - ES,,2001-07-11,,1,0,3,,,4,2,,2001-07-11 11:32:29,2021-05-18 08:42:50,,,310050732
980,93,Organization M - TH - 3,,2012-02-24,,1,2,1,,,4,2,,2012-02-24 16:21:22,2018-10-12 11:40:05,,,310050732
993,45,Organization E - PSH,,2012-03-06,,1,3,3,,,4,2,,2012-03-06 15:42:44,2021-04-14 15:43:33,,,310050732
