HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"29","717",1,2007-03-19,,"2007-06-19 10:48:08","2021-05-04 09:59:44",,,310050732
"3","93",1,2002-10-26,,"2001-06-29 15:25:09","2022-06-27 14:05:59",,,310050732
"30","724",1,2007-07-23,,"2007-07-23 09:24:01","2021-05-04 10:00:36",,,310050732
"31","735",1,2007-11-07,,"2007-11-07 10:34:30","2021-12-07 12:58:13",,,310050732
"32","760",1,2008-06-25,,"2008-06-25 13:05:55","2018-10-12 10:00:11",,,310050732
"33","773",1,2008-09-16,,"2008-09-16 09:07:41","2022-01-25 13:27:26",,,310050732
"34","780",1,2008-09-16,,"2008-09-16 09:31:33","2021-12-09 18:02:56",,,310050732
"35","862",1,2010-02-12,,"2010-02-12 14:08:26","2018-10-12 11:46:58",,,310050732
"36","863",1,2010-02-12,,"2010-02-12 14:09:14","2018-10-12 11:45:08",,,310050732
"37","877",1,2010-08-13,,"2010-08-13 15:41:16","2018-10-12 11:46:36",,,310050732
"38","906",1,2010-11-10,,"2010-11-10 13:45:44","2018-10-12 11:22:43",,,310050732
"39","907",1,2010-11-10,,"2010-11-10 14:34:14","2021-11-30 17:41:28",,,310050732
"4","95",1,2009-09-30,,"2001-07-10 15:38:15","2019-05-29 13:30:54",,,310050732
"40","927",1,2011-01-14,,"2011-01-14 14:12:22","2020-06-19 11:53:30",,,310050732
"41","952",0,2011-06-09,,"2011-06-09 10:52:33","2021-05-03 13:09:21",,,310050732
"43","980",1,2012-02-24,,"2012-02-24 16:21:22","2018-10-12 11:40:05",,,310050732
"44","993",1,2012-03-06,,"2012-03-06 15:42:44","2021-04-14 15:43:33",,,310050732
"46","1051",1,2013-01-01,,"2013-01-22 09:58:28","2018-10-12 11:41:15",,,310050732
"48","1055",1,2013-02-04,,"2013-02-04 12:34:52","2018-10-12 09:21:35",,,310050732
"5","97",1,2001-07-11,,"2001-07-11 11:32:29","2021-05-18 08:42:50",,,310050732
"50","1060",1,2013-02-08,,"2013-02-08 09:57:21","2018-10-12 11:37:07",,,310050732
"51","1081",1,2013-03-14,,"2013-03-14 11:43:22","2018-10-12 11:39:39",,,310050732
"54","1176",1,2014-09-29,,"2014-09-29 09:02:07","2018-10-12 09:54:19",,,310050732
"56","1178",1,2014-09-29,,"2014-09-29 09:29:34","2018-10-12 10:16:51",,,310050732
"58","1182",1,2014-09-29,,"2014-09-29 09:32:26","2020-04-07 10:15:52",,,310050732
"59","1187",1,2010-01-01,,"2014-12-31 11:10:43","2021-05-04 09:58:52",,,310050732
"6","109",1,2001-08-17,,"2001-08-17 11:05:15","2019-03-18 16:23:47",,,310050732
"60","1193",1,2015-01-07,,"2015-01-07 08:48:24","2018-10-12 11:31:15",,,310050732
"61","1210",1,2015-02-25,,"2015-02-25 07:36:32","2018-10-12 10:01:10",,,310050732
"62","1212",1,2015-03-18,,"2015-03-18 10:48:36","2018-10-12 11:38:34",,,310050732
"63","1215",1,2015-01-01,,"2015-04-16 11:26:58","2018-10-12 10:12:20",,,310050732
"67","1236",1,2015-07-20,,"2015-07-20 10:50:36","2021-11-30 17:39:25",,,310050732
"68","1237",1,2015-07-20,,"2015-07-20 11:12:18","2022-01-21 08:22:18",,,310050732
"69","1240",1,2015-11-01,,"2015-09-02 11:36:04","2022-08-30 09:24:35",,,310050732
"7","234",1,2001-08-27,,"2001-08-27 14:04:40","2021-01-04 12:28:32",,,310050732
"70","1249",1,2015-09-22,,"2015-09-22 13:18:29","2021-11-30 17:50:30",,,310050732
"72","1305",1,2016-04-22,,"2016-04-22 08:01:55","2021-05-05 16:35:15",,,310050732
"73","1310",1,2016-06-27,,"2016-06-27 09:18:54","2020-11-20 15:52:14",,,310050732
"8","256",1,2001-09-28,,"2001-09-28 12:10:13","2018-10-12 11:46:16",,,310050732
"84","1330",1,2016-09-15,,"2016-09-15 13:18:32","2020-12-29 15:30:48",,,310050732
"87","1343",1,2016-12-29,,"2016-12-29 10:20:16","2021-12-09 17:51:21",,,310050732
"88","1347",1,2017-01-17,,"2017-01-17 07:41:52","2018-11-01 11:27:21",,,310050732
"89","1349",1,2017-01-25,,"2017-01-25 11:54:48","2018-10-12 10:12:54",,,310050732
"9","263",1,2001-09-28,,"2001-09-28 21:50:38","2021-10-07 11:17:09",,,310050732
"90","1351",1,2017-02-02,,"2017-02-02 10:57:14","2021-12-03 10:49:23",,,310050732
"93","1362",1,2017-03-22,,"2017-03-22 10:57:27","2022-08-15 12:16:04",,,310050732
"94","1366",1,2017-04-05,,"2017-04-05 11:46:02","2018-10-12 11:48:11",,,310050732
"95","1376",1,2017-05-03,2020-01-25,"2017-05-03 11:18:10","2021-01-14 14:36:34",,,310050732
"96","1377",1,2017-05-08,,"2017-05-08 14:10:59","2019-03-19 11:57:04",,,310050732
"97","1385",1,2017-07-17,,"2017-07-17 12:12:38","2021-05-05 16:40:23",,,310050732
