ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"179","609","XX-501","191967","418 Park St",,"Fairview","XX","18648",3,"2014-09-29 13:51:09","2018-11-01 11:20:26",,,310050732
"18","1176","XX-501","195588","168 Oak Ave",,"Washington","XX","86252",3,"2014-09-29 10:55:11","2018-10-12 09:54:16",,,310050732
"180","606","XX-501","196745","764 Main Ave",,"Centerville","XX","86422",3,"2014-09-29 13:52:05","2018-10-12 11:22:15",,,310050732
"181","607","XX-501","196745","982 Second Rd",,"Centerville","XX","86422",3,"2014-09-29 13:53:42","2018-06-07 11:46:12",,,310050732
"182","906","XX-501","195822","576 Third Ave",,"Springfield","XX","18587",3,"2014-09-29 13:54:38","2018-10-12 11:22:39",,,310050732
"190","712","XX-501","198861","778 Cedar Way",,"Arlington","XX","27568",3,"2014-09-29 14:00:17","2018-06-07 11:28:28",,,310050732
"192","488","XX-501","191845","732 Park Ave",,"Franklin","XX","61147",3,"2014-09-29 14:01:16","2018-06-07 11:30:42",,,310050732
"194","486","XX-501","191967","779 Third St",,"Fairview","XX","18648",3,"2014-09-29 14:02:27","2018-10-12 11:19:06",,,310050732
"20","1178","XX-501","195822","843 Cedar Way",,"Springfield","XX","18587",2,"2014-09-29 11:00:54","2021-05-05 23:31:51",,,310050732
"210","565","XX-501","196291","471 Cedar St",,"Bristol","XX","63442",3,"2014-09-29 14:19:44","2018-10-12 11:11:26",,,310050732
"211","388","XX-501","192413","779 Oak Way",,"Georgetown","XX","56342",3,"2014-09-29 14:20:36","2018-06-07 11:11:56",,,310050732
"212","563","XX-501","196745","496 Pine Way",,"Centerville","XX","86422",3,"2014-09-29 14:20:50","2018-06-07 11:01:31",,,310050732
"22","1182","XX-501","191845","298 Second Ave",,"Franklin","XX","61147",1,"2014-09-29 11:10:15","2018-10-12 11:00:51",,,310050732
"228","671","XX-501","191967","394 Pine Rd",,"Fairview","XX","18648",1,"2014-09-29 14:35:11","2018-06-07 11:43:53",,,310050732
"234","55","XX-501","195588","563 Second Ave",,"Washington","XX","86252",1,"2014-09-29 14:38:27","2018-06-07 11:44:24",,,310050732
"238","234","XX-501","195588","113 Cedar Rd",,"Washington","XX","86252",1,"2014-09-29 14:41:27","2018-06-01 11:16:41",,,310050732
"241","780","XX-501","196291","874 Pine Ave",,"Bristol","XX","63442",1,"2014-09-29 14:43:39","2018-10-12 10:36:36",,,310050732
"246","389","XX-501","196745","256 Pine St",,"Centerville","XX","86422",3,"2014-09-29 14:46:24","2018-06-07 11:17:14",,,310050732
"257","773","XX-501","195588","369 Oak St",,"Washington","XX","86252",1,"2014-09-29 14:58:27","2020-10-26 14:17:25",,,310050732
"259","952","XX-501","192413","282 Pine St",,"Georgetown","XX","56342",1,"2014-09-29 14:59:43","2018-10-12 11:00:15",,,310050732
"287","1187","XX-501","192688","579 Third Rd",,"Clinton","XX","12256",1,"2014-12-31 11:14:02","2018-10-12 09:49:17",,,310050732
"293","1193","XX-501","192688","225 Park Way",,"Clinton","XX","12256",1,"2015-01-07 08:48:24","2018-06-01 11:37:51",,,310050732
"30","340","XX-501","196291","955 Third Ave",,"Bristol","XX","63442",1,"2014-09-29 12:00:37","2018-11-01 11:00:06",,,310050732
"31","342","XX-501","192413","988 Park Rd",,"Georgetown","XX","56342",1,"2014-09-29 12:06:38","2018-10-12 09:08:13",,,310050732
"346","450","XX-501","196543","861 Main Rd",,"Chester","XX","64658",1,"2015-02-17 07:41:28","2018-10-12 08:54:05",,,310050732
"349","1210","XX-501","199288","271 Oak St",,"Greenville","XX","23746",1,"2015-02-25 07:36:32","2018-10-12 10:01:07",,,310050732
"350","109","XX-501","195588","871 Pine Ave",,"Washington","XX","86252",1,"2015-03-04 13:51:58","2018-03-21 12:04:17",,,310050732
"369","980","XX-501","196291","285 Main Rd",,"Bristol","XX","63442",3,"2015-03-18 10:58:46","2018-10-12 11:40:04",,,310050732
"375","717","XX-501","195588","386 Main St",,"Washington","XX","86252",1,"2015-04-16 08:54:49","2021-01-08 15:49:01",,,310050732
"376","724","XX-501","192413","963 Second Ave",,"Georgetown","XX","56342",1,"2015-04-16 08:55:04","2018-10-12 09:51:47",,,310050732
"378","1215","XX-501","196745","148 Cedar Rd",,"Centerville","XX","86422",2,"2015-04-16 11:26:58","2018-10-12 10:12:14",,,310050732
"379","1212","XX-501","192688","852 Pine Ave",,"Clinton","XX","12256",3,"2015-04-20 09:05:23","2018-10-12 11:38:32",,,310050732
"41","927","XX-501","196543","778 Oak Way",,"Chester","XX","64658",1,"2014-09-29 12:23:50","2018-10-12 11:28:47",,,310050732
"44","1055","XX-501","195588","674 Pine Way",,"Washington","XX","86252",3,"2014-09-29 12:25:48","2018-10-12 09:20:58",,,310050732
"45","549","XX-501","196291","848 Oak Rd",,"Bristol","XX","63442",1,"2014-09-29 12:26:46","2018-06-01 11:34:03",,,310050732
"450","993","XX-501","196543","947 Second Way",,"Chester","XX","64658",1,"2015-06-18 11:54:38","2018-11-06 12:14:27",,,310050732
"452","1081","XX-501","198861","117 Second Rd",,"Arlington","XX","27568",3,"2015-06-18 12:01:14","2018-11-02 13:15:21",,,310050732
"464","1236","XX-501","195588","612 Park Rd",,"Washington","XX","86252",3,"2015-07-20 10:50:36","2018-10-12 09:53:09",,,310050732
"465","1237","XX-501","192688","461 Oak Way",,"Clinton","XX","12256",3,"2015-07-20 11:12:18","2018-10-12 09:53:42",,,310050732
"468","1240","XX-501","191845","141 Pine St",,"Franklin","XX","61147",1,"2015-09-02 11:36:04","2018-10-12 11:44:19",,,310050732
"47","40","XX-501","192688","456 Main St",,"Clinton","XX","12256",1,"2014-09-29 12:27:55","2018-10-12 09:15:42",,,310050732
"472","1249","XX-501","191845","266 Cedar Ave",,"Franklin","XX","61147",2,"2015-09-22 13:18:29","2018-10-12 11:27:53",,,310050732
"51","93","XX-501","196291","481 Third Rd",,"Bristol","XX","63442",1,"2014-09-29 12:31:25","2018-06-01 11:26:07",,,310050732
"56","475","XX-501","196291","245 Second Way",,"Bristol","XX","63442",1,"2014-09-29 12:33:37","2020-04-27 10:16:54",,,310050732
"573","1305","XX-501","196291","393 Second Way",,"Bristol","XX","63442",1,"2016-04-22 08:01:56","2018-06-06 10:18:07",,,310050732
"580","1310","XX-501","195588","896 Third St",,"Washington","XX","86252",3,"2016-06-27 09:18:55","2020-10-15 14:33:31",,,310050732
"606","1330","XX-501","196291","541 Cedar Way",,"Bristol","XX","63442",3,"2016-09-15 13:18:33","2020-02-03 13:23:33",,,310050732
"620","1343","XX-501","195588","757 Third Rd",,"Washington","XX","86252",1,"2016-12-29 10:20:17","2018-10-12 11:27:04",,,310050732
"624","1347","XX-501","196543","339 Park Way",,"Chester","XX","64658",3,"2017-01-17 07:41:53","2018-11-01 11:27:17",,,310050732
"626","1349","XX-501","195588","185 Oak St",,"Washington","XX","86252",1,"2017-01-25 11:54:48","2018-11-06 12:16:23",,,310050732
"627","1351","XX-501","196745","796 Pine Ave",,"Centerville","XX","86422",1,"2017-02-02 10:57:15","2021-05-05 23:36:50",,,310050732
"644","1366","XX-501","195588","446 Third Ave",,"Washington","XX","86252",3,"2017-04-05 11:46:02","2018-10-12 11:48:08",,,310050732
"662","1376","XX-501","195588","395 Park Rd",,"Washington","XX","86252",1,"2017-05-03 11:18:11","2018-06-06 10:00:47",,,310050732
"709","1377","XX-501","191967","953 Oak Way",,"Fairview","XX","18648",3,"2017-05-08 14:11:35","2018-06-07 10:14:54",,,310050732
"717","1385","XX-501","194487","414 Pine St",,"Lebanon","XX","95957",1,"2017-07-17 12:12:38","2018-10-12 11:20:50",,,310050732
"726","1394","XX-501","192688","612 Second Way",,"Clinton","XX","12256",1,"2017-10-03 07:58:41","2018-10-12 11:29:10",,,310050732
"727","1395","XX-501","196543","842 Third St",,"Chester","XX","64658",1,"2017-10-06 11:34:33","2018-06-06 10:33:42",,,310050732
"728","1396","XX-501","196745","366 Park Ave",,"Centerville","XX","86422",3,"2017-10-12 13:16:47","2018-06-07 10:16:44",,,310050732
"729","1397","XX-501","195588","317 Oak Rd",,"Washington","XX","86252",3,"2017-10-12 13:20:39","2018-10-12 11:11:06",,,310050732
"737","1405","XX-501","199288","834 Pine Way",,"Greenville","XX","23746",1,"2017-10-26 10:34:29","2018-10-12 11:43:54",,,310050732
"74","632","XX-501","191967","928 Oak Ave",,"Fairview","XX","18648",1,"2014-09-29 12:41:29","2018-10-12 09:23:22",,,310050732
"740","1408","XX-501","199288","426 Main Ave",,"Greenville","XX","23746",1,"2017-10-26 12:48:08","2021-05-05 23:39:06",,,310050732
"750","1416","XX-501","198861","937 Third Way",,"Arlington","XX","27568",1,"2017-12-26 15:25:21","2018-06-06 09:54:42",,,310050732
"752","1418","XX-501","196745","884 Park St",,"Centerville","XX","86422",1,"2018-01-04 15:36:30","2018-03-22 11:17:38",,,310050732
"755","1421","XX-501","191967","639 Pine Rd",,"Fairview","XX","18648",1,"2018-01-19 12:56:25","2018-06-06 10:30:25",,,310050732
"761","1427","XX-501","192688","193 Cedar Way",,"Clinton","XX","12256",2,"2018-02-13 11:14:01","2021-05-05 23:26:09",,,310050732
"762","1428","XX-501","195822","593 Main St",,"Springfield","XX","18587",1,"2018-02-13 11:16:11","2018-11-02 13:09:28",,,310050732
"767","1435","XX-501","196745","574 Second Ave",,"Centerville","XX","86422",2,"2018-04-17 14:00:17","2018-06-01 11:29:53",,,310050732
"777","1448","XX-501","198861","874 Third Rd",,"Arlington","XX","27568",1,"2018-08-10 08:25:53","2018-08-10 08:25:53",,,310050732
"778","1449","XX-501","191967","718 Park Way",,"Fairview","XX","18648",1,"2018-08-10 08:30:15","2018-08-10 08:30:15",,,310050732
"780","1451","XX-501","196745","667 Oak St",,"Centerville","XX","86422",1,"2018-09-11 13:10:57","2018-09-11 13:10:57",,,310050732
"781","1452","XX-501","192413","734 Pine Ave",,"Georgetown","XX","56342",1,"2018-09-11 14:01:16","2018-09-11 14:01:16",,,310050732
"782","1453","XX-501","196291","226 Cedar Rd",,"Bristol","XX","63442",1,"2018-09-11 14:07:46","2018-09-11 14:07:46",,,310050732
"819","1459","XX-501","199288","234 Main Way",,"Greenville","XX","23746",1,"2018-11-29 13:53:53","2018-11-29 13:53:53",,,310050732
"825","1476","XX-501","191845","539 Second St",,"Franklin","XX","61147",2,"2018-12-11 08:41:55","2018-12-11 08:41:55",,,310050732
"831","1482","XX-501","191845","148 Third Ave",,"Franklin","XX","61147",1,"2019-01-22 11:57:13","2019-01-22 11:57:13",,,310050732
"833","1484","XX-501","195588","883 Park Rd",,"Washington","XX","86252",1,"2019-02-19 09:24:22","2019-02-19 09:24:22",,,310050732
"838","1488","XX-501","191967","983 Pine St",,"Fairview","XX","18648",1,"2019-03-26 11:26:43","2021-01-14 15:14:02",,,310050732
"841","1490","XX-501","199288","826 Cedar Ave",,"Greenville","XX","23746",3,"2019-03-27 09:19:27","2019-04-08 10:45:52",,,310050732
"842","1487","XX-501","196291","865 Oak Way",,"Bristol","XX","63442",1,"2019-04-23 14:50:28","2021-05-05 15:46:35",,,310050732
"845","1492","XX-501","191967","726 Main Rd",,"Fairview","XX","18648",3,"2019-06-10 07:32:23","2019-06-10 07:32:23",,,310050732
"846","1494","XX-501","196745","744 Second Way",,"Centerville","XX","86422",3,"2019-06-13 11:14:26","2021-11-19 15:41:46",,,310050732
"847","1495","XX-501","192413","253 Third St",,"Georgetown","XX","56342",3,"2019-07-01 10:38:35","2019-07-01 10:38:35",,,310050732
"848","1496","XX-501","191967","389 Park Ave",,"Fairview","XX","18648",1,"2019-07-08 14:30:48","2021-05-03 11:09:01",,,310050732
"862","1510","XX-501","191845","249 Main Ave",,"Franklin","XX","61147",1,"2019-10-22 14:32:43","2019-10-22 14:32:43",,,310050732
"868","1516","XX-501","196745","258 Second Rd",,"Centerville","XX","86422",1,"2020-01-15 10:36:00","2020-01-15 10:36:00",,,310050732
"869","1517","XX-501","192688","711 Third Way",,"Clinton","XX","12256",1,"2020-01-15 10:37:58","2020-01-15 10:37:58",,,310050732
"870","1518","XX-501","196291","658 Park St",,"Bristol","XX","63442",3,"2020-01-15 16:25:56","2021-05-05 23:45:09",,,310050732
"877","1520","XX-501","199288","495 Oak Ave",,"Greenville","XX","23746",2,"2020-03-24 14:09:56","2020-03-24 14:09:56",,,310050732
"88","1060","XX-501","196745","693 Main Ave",,"Centerville","XX","86422",3,"2014-09-29 12:45:52","2018-10-12 11:37:04",,,310050732
"884","1537","XX-501","198861","688 Pine Rd",,"Arlington","XX","27568",2,"2020-06-09 16:43:28","2021-05-05 23:53:43",,,310050732
"896","1543","XX-501","191967","772 Main St",,"Fairview","XX","18648",1,"2020-07-14 17:09:42","2020-07-14 17:09:42",,,310050732
"897","1544","XX-501","196291","574 Second Ave",,"Bristol","XX","63442",1,"2020-07-14 17:21:33","2020-07-14 17:21:33",,,310050732
"898","1545","XX-501","191845","491 Third Rd",,"Franklin","XX","61147",1,"2020-07-14 17:27:15","2021-05-05 23:22:58",,,310050732
"899","1546","XX-501","196543","141 Park Way",,"Chester","XX","64658",1,"2020-07-14 17:30:19","2020-07-14 17:30:19",,,310050732
"903","1550","XX-501","196291","499 Cedar Rd",,"Bristol","XX","63442",1,"2020-07-15 12:27:42","2020-07-15 12:27:42",,,310050732
"909","1556","XX-501","191845","191 Third Ave",,"Franklin","XX","61147",3,"2020-07-16 13:23:03","2021-10-21 16:39:53",,,310050732
"911","1558","XX-501","195588","666 Oak Way",,"Washington","XX","86252",3,"2020-07-20 10:49:57","2020-07-20 10:49:57",,,310050732
"912","1559","XX-501","196291","676 Pine St",,"Bristol","XX","63442",3,"2020-07-20 10:52:22","2020-07-20 10:52:22",,,310050732
"916","1563","XX-501","191845","971 Cedar Ave",,"Franklin","XX","61147",3,"2020-07-22 12:32:52","2020-07-22 12:32:52",,,310050732
"918","1566","XX-501","191967","242 Second Way",,"Fairview","XX","18648",1,"2020-07-24 10:13:31","2021-05-03 11:09:25",,,310050732
"920","1568","XX-501","196291","127 Park Ave",,"Bristol","XX","63442",1,"2020-07-24 15:14:44","2020-07-24 15:14:44",,,310050732
"924","1575","XX-501","198861","114 Cedar St",,"Arlington","XX","27568",3,"2020-07-27 10:29:12","2020-07-27 10:29:12",,,310050732
"934","1585","XX-501","195822","315 Third Way",,"Springfield","XX","18587",2,"2020-07-28 15:53:50","2021-05-05 23:31:00",,,310050732
"949","1601","XX-501","196291","227 Pine Rd",,"Bristol","XX","63442",1,"2020-09-08 16:24:08","2020-09-08 16:24:08",,,310050732
"956","1606","XX-501","191967","139 Main St",,"Fairview","XX","18648",1,"2020-09-28 09:54:25","2021-05-05 23:31:25",,,310050732
"960","1610","XX-501","196543","631 Third Rd",,"Chester","XX","64658",3,"2020-10-19 15:51:54","2020-10-19 15:51:54",,,310050732
"961","1611","XX-501","198861","298 Park Way",,"Arlington","XX","27568",2,"2020-10-21 11:17:48","2021-09-04 14:20:54",,,310050732
"965","1614","XX-501","198861","375 Oak St",,"Arlington","XX","27568",1,"2020-10-28 08:36:40","2020-10-28 08:38:05",,,310050732
"972","1362","XX-501","196291","964 Second St",,"Bristol","XX","63442",3,"2020-12-21 15:46:01","2021-05-18 08:52:25",,,310050732
"979","1625","XX-501","196291","944 Main Way",,"Bristol","XX","63442",2,"2021-01-20 15:35:34","2021-05-05 23:51:56",,,310050732
"992","1638","XX-501","199288","482 Oak Way",,"Greenville","XX","23746",1,"2021-04-14 15:10:51","2021-05-03 17:20:46",,,310050732
